Array Length,Presorted Rate,Duplicate Rate,Max Digits,Fastest Sort
12,0.2727,0.25,1,I
86,0.8,0.7907,1,M
7,0.3333,0.2857,1,I
50,0.6735,0.66,1,Q
97,0.5104,0.4845,2,H
13,0.3333,0.3077,2,I
72,0.7606,0.75,1,Q
71,0.7857,0.7606,1,H
68,0.4179,0.3971,2,H
10,0.5556,0.5,1,I
60,0.7119,0.7,1,Q
20,0.3684,0.15,2,M
79,0.6026,0.5316,2,M
37,0.1389,0.1351,2,H
9,0.375,0.1111,2,I
37,0.4722,0.3514,2,H
54,0.717,0.7037,1,I
74,0.7671,0.7568,1,M
6,0.2,0.1667,3,I
43,0.2143,0.186,3,M
53,0.3269,0.1887,3,M
4,0.3333,0.25,3,I
68,0.5522,0.5,2,M
32,0.1613,0.1563,2,Q
85,0.2262,0.2235,4,Q
18,0.4706,0.2778,3,M
37,0.2222,0.1622,3,M
97,0.3333,0.1753,3,M
28,0.1111,0.1071,3,M
37,0.3889,0.2162,3,H
69,0.2941,0.1739,3,M
58,0.3333,0.2241,4,M
4,0.3333,0.25,3,M
61,0.35,0.2951,4,M
41,0.4,0.2927,4,M
12,0.3636,0.1667,4,M
13,0.25,0.2308,4,M
51,0.2,0.1373,4,Q
41,0.2,0.1951,5,M
64,0.3016,0.2344,5,Q
77,0.1711,0.0519,5,M
92,0.2637,0.0761,5,Q
31,0.3,0.1935,5,M
98,0.2268,0.1633,4,H
69,0.2206,0.1449,4,M
26,0.28,0.1154,5,I
76,0.2933,0.1711,6,M
87,0.3372,0.2874,5,M
86,0.2824,0.1977,5,Q
9,0.25,0.1111,5,M
83,0.2805,0.1325,5,Q
61,0.1667,0.0984,5,H
75,0.2162,0.2,6,Q
63,0.2903,0.1587,6,I
13,0.25,0.2308,7,I
94,0.2151,0.1489,6,M
42,0.3415,0.2381,6,I
49,0.2708,0.102,6,I
74,0.2466,0.2432,6,M
15,0.2857,0.2667,6,I
2,1,0.5,5,I
97,0.3021,0.2371,7,Q
78,0.2857,0.141,7,I
10,0.4444,0.3,7,I
56,0.0545,0.0536,7,I
87,0.1977,0.1609,8,M
21,0.4,0.3333,7,I
32,0.2903,0.1875,7,I
1,1,0,3,M
24,0.1304,0.125,6,I
13,0.1667,0.1538,7,I
26,0.28,0.2308,7,I
16,0.2667,0.0625,8,I
14,0.1538,0.1429,7,I
2,1,0.5,3,I
84,0.2892,0.2738,8,M
86,0.3647,0.2791,7,Q
53,0.2308,0.1132,9,I
96,0.2211,0.1146,9,H
8,0.2857,0.25,8,I
92,0.3187,0.2174,9,M
13,0.1667,0.1538,8,I
20,0.3158,0.3,8,I
9,0.25,0.2222,7,I
38,0.3243,0.1842,10,I
61,0.35,0.2295,9,I
37,0.25,0.0541,9,I
25,0.375,0.16,9,I
28,0.2222,0.1786,9,I
35,0.2647,0.1429,9,I
90,0.3034,0.3,10,M
95,0.3404,0.1474,9,Q
37,0.25,0.1351,10,M
97,0.1458,0.1031,10,M
33,0.0625,0.0606,10,M
36,0.2,0.0833,10,I
38,0.1892,0.0789,10,I
76,0.3067,0.2632,10,Q
80,0.1392,0.0875,10,Q
11,0.6,0.5455,1,M
67,0.7727,0.7463,1,Q
90,0.809,0.8,1,M
51,0.74,0.7255,1,M
70,0.8116,0.8,1,M
26,0.68,0.6538,1,M
63,0.1129,0.1111,10,M
79,0.6538,0.6076,2,Q
62,0.623,0.6129,2,M
67,0.6061,0.5522,2,M
76,0.7867,0.7763,1,M
3,1,0.6667,1,M
12,0.5455,0.5,1,M
40,0.641,0.625,1,M
67,0.6515,0.6418,2,M
52,0.549,0.4808,2,M
42,0.4878,0.4524,2,M
12,0.6364,0.5833,2,M
76,0.56,0.5526,2,M
84,0.5301,0.5238,3,H
82,0.5432,0.5366,2,M
11,0.4,0.3636,2,M
27,0.5385,0.5185,3,H
73,0.5694,0.5342,3,H
92,0.5604,0.5543,3,H
17,0.4375,0.3529,3,H
34,0.4242,0.3529,3,H
43,0.4524,0.4419,3,M
87,0.3256,0.3103,4,I
28,0.3704,0.3571,4,I
34,0.5758,0.5294,4,I
43,0.4762,0.4186,4,I
20,0.4737,0.4,3,I
70,0.5217,0.4571,3,H
92,0.5165,0.4674,3,H
44,0.4651,0.3864,5,I
84,0.5181,0.4762,4,I
51,0.46,0.451,4,I
72,0.5775,0.4306,4,I
9,0.5,0.4444,3,I
25,0.375,0.36,4,I
50,0.449,0.44,4,I
19,0.6667,0.5263,5,I
68,0.403,0.3088,5,I
61,0.4167,0.377,5,I
25,0.375,0.32,5,I
91,0.4,0.3516,5,I
72,0.3803,0.3472,5,I
45,0.5455,0.5111,5,I
86,0.5529,0.4651,6,I
70,0.4928,0.4286,6,I
80,0.4557,0.3625,6,I
28,0.5185,0.4643,6,I
27,0.3462,0.3333,6,I
4,0.6667,0.5,5,I
54,0.3396,0.2963,5,I
87,0.5116,0.4368,7,I
26,0.52,0.4615,7,I
97,0.2917,0.2887,6,I
31,0.3,0.2903,6,I
6,0.4,0.3333,3,I
47,0.5,0.4255,5,I
39,0.5,0.4615,6,I
29,0.3571,0.3103,7,I
60,0.4068,0.4,7,I
55,0.537,0.4909,7,I
52,0.451,0.4423,7,I
21,0.5,0.4762,7,I
16,0.4,0.375,7,I
67,0.4848,0.4478,7,I
54,0.4906,0.4444,8,I
97,0.4375,0.3711,8,I
65,0.3906,0.3846,8,I
47,0.5,0.4894,8,I
72,0.338,0.3194,8,I
80,0.5063,0.5,8,I
66,0.5231,0.4394,7,I
86,0.4706,0.3953,9,I
28,0.4815,0.4643,9,I
89,0.5114,0.4382,9,I
66,0.4308,0.3636,8,I
17,0.4375,0.4118,8,I
51,0.44,0.3333,8,I
95,0.3404,0.2947,8,I
34,0.3939,0.3529,9,I
92,0.4396,0.3804,9,I
51,0.48,0.4706,9,I
59,0.3793,0.3051,9,I
71,0.4286,0.338,9,I
36,0.3429,0.3056,9,I
91,0.5,0.4945,9,I
10,0.5556,0.5,10,I
34,0.4848,0.4412,10,I
60,0.4915,0.4667,10,I
99,0.5,0.404,10,I
94,0.4731,0.4681,10,I
72,0.5493,0.5139,10,I
88,0.5172,0.5,10,I
76,0.8267,0.8158,1,I
6,0.8,0.6667,1,I
86,0.8471,0.8372,1,I
27,0.7308,0.7037,1,I
67,0.8485,0.8358,1,I
4,0.6667,0.5,4,I
24,0.4348,0.3333,10,I
51,0.48,0.451,10,I
60,0.7288,0.7167,2,I
56,0.7818,0.7679,2,I
